vn,en
buổi ngày,morning
buổi mai,morning
buổi sáng,morning
buổi sớm,morning
buổi trưa,noon
buổi chiều,afternoon
buổi tối,night
buổi đêm,midnight
buổi,a period of time in a day
ban,a period of time in a day
ban ngày,daytime
ban mai,early morning; dawn
ban sáng,morning
ban sớm,early morning
ban trưa,noonday
ban chiều,afternoon
ban đêm,midnight
ban đầu,at frist of the period of time 
ban sơ,at frist of the period of time 
ban nãy,a moment ago
bình minh,dawn
hoàng hôn,sunset
đêm,night
đêm hôm,night
đêm khuya,midnight
đêm tối,night
đêm nay,tonight
đêm mai,tomorrow night
đêm qua,last night
đêm ngày,day and night
